表題,種別,コレクション名,請求記号,タイトルヨミ,日付,号,面,備考,出版社,出版地,封筒,画像注記,差出,宛,編著者,年月日,サイズ,シリーズ名,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
改進新聞 明治19(1886)年1月8日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-01-08,843,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/42838295-8a81-9f00-1881-4695d2d835ed.json,42838295-8a81-9f00-1881-4695d2d835ed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/42838295-8a81-9f00-1881-4695d2d835ed,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/949f05fa9ea3e39185e59ae6d25f06b1e7f4bbb1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416240,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/42838295-8a81-9f00-1881-4695d2d835ed/manifest,,,,,4
縣報 明治廿二年三月分,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:38:18,,,,,,,,千葉県(二),,,,,明治22年5月31日,1点(8p) 19×13cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/07baa080-522b-46d6-4ef1-46c731742983.json,07baa080-522b-46d6-4ef1-46c731742983,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/07baa080-522b-46d6-4ef1-46c731742983,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7219d52f628f5ffcbdd4cb90f8394efeca1b9f16.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422932,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/07baa080-522b-46d6-4ef1-46c731742983/manifest,,,,,6
改進新聞 明治18(1885)年7月11日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-07-11,697,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7154768-9ba7-4050-496d-d8d241e826a9.json,a7154768-9ba7-4050-496d-d8d241e826a9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a7154768-9ba7-4050-496d-d8d241e826a9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cda30f2a51d0684b7de1e5b738b1f81998f2aa58.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416094,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a7154768-9ba7-4050-496d-d8d241e826a9/manifest,,,,,4
千葉縣日誌(号数不明、部分),静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:37:14,,,,,,,,千葉県(一),,,,,不明,1綴(11丁から12丁) 22×15cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/53146c40-2988-0e52-a5fe-0bca77420744.json,53146c40-2988-0e52-a5fe-0bca77420744,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/53146c40-2988-0e52-a5fe-0bca77420744,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cb2845b1d92caccec2011c3af0196eba4be565e7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422898,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/53146c40-2988-0e52-a5fe-0bca77420744/manifest,,,,,3
改進新聞 明治21(1888)年8月7日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1888-08-07,1626,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5e535ceb-8b89-7820-4c16-3a0e779265a9.json,5e535ceb-8b89-7820-4c16-3a0e779265a9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/5e535ceb-8b89-7820-4c16-3a0e779265a9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f3691f670b70c22e0bf7bd2826dd35f174860324.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416997,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5e535ceb-8b89-7820-4c16-3a0e779265a9/manifest,,,,,4
為悪所御請書,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:4:69,,,,,,,,青森県(二),,和泉国第21区日根郡五門村 中莞示,堺県御庁,,明治5申年7月4日,1点(2丁) 25×17cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e072ae9-8d79-1898-2e4f-2bf5a6a167a6.json,7e072ae9-8d79-1898-2e4f-2bf5a6a167a6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/7e072ae9-8d79-1898-2e4f-2bf5a6a167a6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f857367f20f56030567264fc739dc48d665c22ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422461,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e072ae9-8d79-1898-2e4f-2bf5a6a167a6/manifest,,,,,3
改進新聞 明治24(1891)年12月17日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1891-12-17,2655,1-6,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5058bc35-6c4b-02d8-1d95-ce0d45d67a1f.json,5058bc35-6c4b-02d8-1d95-ce0d45d67a1f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/5058bc35-6c4b-02d8-1d95-ce0d45d67a1f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad17dcdd19874404864aae31441c867c18dc18b1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417390,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5058bc35-6c4b-02d8-1d95-ce0d45d67a1f/manifest,,,,,6
明治五年申正月廿八日 願書,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:8:2,,,,,,,,江刺県,,,江刺縣御役所,,明治5年申正月28日,1綴(4丁) 25×17cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6bd12ed7-66f7-5b0e-5f30-b519b33042c0.json,6bd12ed7-66f7-5b0e-5f30-b519b33042c0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/6bd12ed7-66f7-5b0e-5f30-b519b33042c0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d04f323db2dcb5a39b0c972fa4fda6e88069d1de.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422524,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6bd12ed7-66f7-5b0e-5f30-b519b33042c0/manifest,,,,,5
改進新聞 明治21(1888)年7月15日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1888-07-15,1607,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a8beb3c6-7a18-2493-7308-868c1deb8a2e.json,a8beb3c6-7a18-2493-7308-868c1deb8a2e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a8beb3c6-7a18-2493-7308-868c1deb8a2e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/63b26b3d540e0753bf7ef41a41a04a00e963e9ac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416978,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a8beb3c6-7a18-2493-7308-868c1deb8a2e/manifest,,,,,4
東洋自由新聞 明治14(1881)年3月31日,新聞,宮武外骨蒐集資料(東洋自由新聞),K-28,トウヨウジユウシンブン,1881-03-31,9,1-4,,東洋自由新聞社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f98f2d5c-4e8f-094d-9592-b40c61a56ba4.json,f98f2d5c-4e8f-094d-9592-b40c61a56ba4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f98f2d5c-4e8f-094d-9592-b40c61a56ba4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fbf9d2b7845599494723c2502fa3664c7d8189d1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415657,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f98f2d5c-4e8f-094d-9592-b40c61a56ba4/manifest,,,,,4
續告諭志之事 世變之言附述懐之事,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:36:24,,,,,,,,浦和県,,横見郡大和谷新田醫師良安,浦和縣御役所,,明治3庚午年4月5日,1綴(3丁) 25×18cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f9ba5a4d-88c3-4b14-678a-fffe14953f9a.json,f9ba5a4d-88c3-4b14-678a-fffe14953f9a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f9ba5a4d-88c3-4b14-678a-fffe14953f9a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f7f94cd8f7c3f3b9ce38343add675ffbfc2288c1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422877,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f9ba5a4d-88c3-4b14-678a-fffe14953f9a/manifest,,,,,12
改進新聞 明治20(1887)年3月25日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-03-25,1209,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d2ac63a1-4abf-7722-66a0-9d1cab1743da.json,d2ac63a1-4abf-7722-66a0-9d1cab1743da,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d2ac63a1-4abf-7722-66a0-9d1cab1743da,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/93027c9619083487368f30c0981ad4d66a093b8b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416581,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d2ac63a1-4abf-7722-66a0-9d1cab1743da/manifest,,,,,4
改進新聞 明治22(1889)年4月19日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1889-04-19,1833,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a57fafe6-07c2-266c-4a7f-effd7d305548.json,a57fafe6-07c2-266c-4a7f-effd7d305548,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a57fafe6-07c2-266c-4a7f-effd7d305548,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c495a7fd20ec65a44fa93bcebf7cbd0a2002bef2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417113,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a57fafe6-07c2-266c-4a7f-effd7d305548/manifest,,,,,4
改進新聞 明治18(1885)年2月21日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-02-21,590,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/994ca3c5-09a9-934d-202c-a9cf60de79e2.json,994ca3c5-09a9-934d-202c-a9cf60de79e2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/994ca3c5-09a9-934d-202c-a9cf60de79e2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f30f9b08324d3f3d3b8db3d5118b283b4e51d3e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415987,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/994ca3c5-09a9-934d-202c-a9cf60de79e2/manifest,,,,,4
改進新聞 明治19(1886)年5月22日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-05-22,955,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ff58e6ee-8e47-0379-5e97-c4a776ac24e2.json,ff58e6ee-8e47-0379-5e97-c4a776ac24e2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ff58e6ee-8e47-0379-5e97-c4a776ac24e2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9ecca8cda2d4336648acb5d0aa4bcbfcbb7210e1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416352,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff58e6ee-8e47-0379-5e97-c4a776ac24e2/manifest,,,,,4
改進新聞 明治20(1887)年8月13日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-08-13,1330,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d5125b74-a5f3-8779-2cfc-ffd35c37596e.json,d5125b74-a5f3-8779-2cfc-ffd35c37596e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d5125b74-a5f3-8779-2cfc-ffd35c37596e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0288c369be6fd27f16b9edd023f6e9d9327b4608.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416702,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d5125b74-a5f3-8779-2cfc-ffd35c37596e/manifest,,,,,4
明治六年雜税皆濟帳,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:67:1,,,,,,,,浜松県,,濱松縣廳,海老江村,,明治7年3月,1枚 27×19cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/277e9a7d-9e9f-6b0c-7961-b54cb19139f9.json,277e9a7d-9e9f-6b0c-7961-b54cb19139f9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/277e9a7d-9e9f-6b0c-7961-b54cb19139f9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/168101620ee79879abc50d2dd5cddc7d401df577.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/423159,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/277e9a7d-9e9f-6b0c-7961-b54cb19139f9/manifest,,,,,2
改進新聞 明治18(1885)年12月6日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-12-06,820,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d10e3e8a-92cf-3e35-7b37-8cfa13228014.json,d10e3e8a-92cf-3e35-7b37-8cfa13228014,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d10e3e8a-92cf-3e35-7b37-8cfa13228014,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/287153e25f30e9107594cb76ab19cb129f3b7a95.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416217,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d10e3e8a-92cf-3e35-7b37-8cfa13228014/manifest,,,,,4
改進新聞 明治20(1887)年6月10日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-06-10,1275,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a036bbe2-963e-3cb4-4126-f64268228f9c.json,a036bbe2-963e-3cb4-4126-f64268228f9c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a036bbe2-963e-3cb4-4126-f64268228f9c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/17a3f8821d7d3ed4befcffc9491cc0427a8186e4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416647,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a036bbe2-963e-3cb4-4126-f64268228f9c/manifest,,,,,4
