タイトル,書名よみ,書誌情報,請求記号,画像,内容記述,区分,Digitized Publisher,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
陸軍省醫務局年報(リクグンショウ イムキョク ネンポウ) / 陸軍省醫務局.,リクグンショウ イムキョク ネンポウ,"[東京] : [陸軍省], [1877-1886] 3冊 ; 26cm -- [3]-[10],12 (1877-1886) 別誌名: 陸軍省医務局年報",鴎ZV:62,書入頁,陸軍の「医事衛生の景況」を記録したもので、傷病死者の統計とその報告等を載せている。鴎外の軍務上の資料であったと思われる。鴎外文庫には製本されたもの全11冊が所蔵されているが、ここに画像化したのは次の3冊である。 ・第3年報(明治10年(1877)7月~11年(1878)6月)より第7年報(明治14年(1881)7月~15年(1882)6月)までの5年度分を合冊したもの ・第8年報(明治15年(1882)7月~16年(1883)6月)、第9年報(明治16年(1883)7月~12月)、第10年報(明治17年(1884)1月~12月)の3年度分を合冊したもの ・第12年報(明治19年(1886)) (残りの所蔵は第13年報~第20年報の8冊である) なお第3~7年報の巻末に「明治十七年六月 森林太郎受領」との識語があり、ドイツ留学に出立する直前に受領したものであることが注目される。(梅),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/40eb0290-0e84-4ff2-a166-ff9e7d148e26.json,40eb0290-0e84-4ff2-a166-ff9e7d148e26,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/40eb0290-0e84-4ff2-a166-ff9e7d148e26,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b602243a12299d599022e4fe1ebd0cc09c08da39.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/389,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/40eb0290-0e84-4ff2-a166-ff9e7d148e26/manifest,,,,,40
丁巳雜抄 : 人名類(テイシ ザッショウ : ジンメイルイ) . [写本],テイシ ザッショウ : ジンメイルイ,"([製作地不明] : [森鴎外], [1917]) 3冊 ; 24cm -- 1;2;3 注記: 写本 ; 和装. 袋綴じ",鴎H20:524,全頁,鴎外の手になるノート。和漢の古典籍約190の書名が記されるほか、近世期の漢詩文集などからは、儒学者や漢詩人などの姓氏や別号なども抄出されている。人名採録の対象となった文献としては、『蓬蒿詩集初編』、『采風集』、『詩山堂詩話』、『詠史絶句』、『名家詩録』、『近世詩林』、『七曲吟社詩』、『両総風雅集』、『寰内奇詠』、『松庵詩集』、『実践社業余』、『松庵詩集』、『和易堂詩』、『海岳(獄)詩囊』、『緑天社吟稿』、『凌雲集』、『孤松全稿』などがある。 作成は、丁巳、すなわち、大正6年(1917)であるが、この年、鴎外は、本資料のほか『安永騒壇』や『闇斎派諸儒墓田録』など、多くの近世漢文学関係の人名録を編んでいる。大正5年(1916)4月に陸軍を辞めてから翌年12月に帝室博物館総長兼図書頭に就任するまで、鴎外は無官であった。この間の暇な時間を利用して、大量の書物を渉猟していたと考えられる。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/41739adc-61a9-46fd-be25-14b396f630c1.json,41739adc-61a9-46fd-be25-14b396f630c1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/41739adc-61a9-46fd-be25-14b396f630c1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b9eeff39613583afa3973b63879605f87330a6db.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/390,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/41739adc-61a9-46fd-be25-14b396f630c1/manifest,,,,,107
小山田與清古暦本序(オヤマダ トモキヨ コレキホンジョ) . [写本],オヤマダ トモキヨ コレキホンジョ,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名は巻頭による ; 写本 ; 和装. 袋綴じ",鴎T30:39,全頁,鴎外自筆による、小山田与清の著『古暦本』の抄本。内容は、和漢の様々な暦を列挙したものである。『古暦本』は井上頼国旧蔵本が無窮会神習文庫に蔵されており、『国書総目録』によれば、その書名が「古暦本序」となっているとのことである(未見)。本書は外題・内題ともに「小山田与清古暦本序」と記されているから、鴎外もこれを参照した可能性が高い。『伊沢蘭軒』その三百十には、森枳園の著『本草経薬和名攷』に関して「其稿本は井上頼国の旧蔵であって、今無窮会に保管せられてゐる。末に下の識語がある」という記述があり、鴎外が無窮会を訪れていた可能性は十分に考えられる。(出)|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html,和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/43406939-f492-4756-8296-d00645ffa178.json,43406939-f492-4756-8296-d00645ffa178,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/43406939-f492-4756-8296-d00645ffa178,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3bcba840dae3d46aa20e654a38f110b6be0116eb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/391,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/43406939-f492-4756-8296-d00645ffa178/manifest,,,,,11
慊堂諫艸(コウドウ カンソウ) / [松崎慊堂著]. [写本],コウドウ カンソウ,"([製作地不明] : [森鴎外], [1---]) 24丁 ; 24cm 注記: 写本 ; 扉に「下総國印幡郡八街町矢部健次郎蔵」とあり ; 和装. 袋綴じ",鴎G27:204,全頁,近世後期の儒学者、松崎慊堂が掛川藩主太田資始《すけもと》にあてた書簡の写し。「下総国印旛郡八街町矢部健次郎蔵」と扉に註がある。矢部健次郎は慊堂の外曾孫であり、松崎健五郎、浜野知三郎、渋江保などと共に慊堂関係資料の提供者であった。直接本書簡に関する記事はないものの、大正7年(1918)の鴎外日記『委蛇録』5月19日、6月4日、9月17日には矢部について言及がある。 書簡は文化8年(1811)2月頃のもの。前年近江堀田家からの養子として太田の家督を相続した資始に、水戸光圀の例などを引きつつ、もとの血脈に連なる者を養子に立てるよう諫める内容である。 掛川藩に召抱えられた慊堂の事蹟は、『北条霞亭』など最晩年の史伝においてたびたび取上げられている。(多)|関連作品: 『北条霞亭』(全集18巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/43516094-ada9-489f-8929-a19e21c24630.json,43516094-ada9-489f-8929-a19e21c24630,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/43516094-ada9-489f-8929-a19e21c24630,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2746a3e33f843b8831434d8e839caae922d9e016.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/392,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/43516094-ada9-489f-8929-a19e21c24630/manifest,,,,,30
Deutsche Lyrik : seit Goethe's Tode / Ausgewählt von Maximilian Bern.,Deutsche Lyrik : seit Goethe's Tode / Ausgewählt von Maximilian Bern.,"Leipzig : P. Reclam, [1---]. 640 p. ; 15 cm.",鴎E400:154,書入頁,"マクシミリアン・ベルン編『ドイツ詩集』。 ゲーテ以後のドイツ詩を集めたレクラム文庫刊のアンソロジー。鴎外の書き込みは留学中のものと思われ、余白にペンで「名文」「絶調」などと素直な感想を書いたり、熟読の跡がうかがえる。帰国後出版された『於母影』所収の「思郷」「あまおとめ」「あるとき」「花薔薇」「わかれかね」「隕石」「三騎」「喇叭」「一夜のやど」の翻訳原本でもある。(河)|関連作品: 『於母影』(全集19巻)|参考文献: 小堀桂一郎『森鴎外−文業解題』翻訳編,岩波書店,1982年",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/44728e39-4c02-4a5b-bd05-c7580a1d19bd.json,44728e39-4c02-4a5b-bd05-c7580a1d19bd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/44728e39-4c02-4a5b-bd05-c7580a1d19bd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bf5395e8a39fd659718a93ed738fa44448cc82dc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/393,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44728e39-4c02-4a5b-bd05-c7580a1d19bd/manifest,,,,,89
慊堂詩文集(コウドウ シブンシュウ) / [松崎慊堂著]. [写本],コウドウ シブンシュウ,"([製作地不明] : [澁江保], [1---]) 5冊 ; 24cm -- 卷之1 - 卷之5 注記: 書名は目首及び題簽による ; 写本 ; 和装. 袋綴じ",鴎E43:320,全頁,近世後期の儒学者松崎慊堂の漢詩文を集めた本であり、史伝関係資料の一つ。慊堂は『伊沢蘭軒』や『北条霞亭』における主要登場人物の一人であり、鴎外は、彼の記した墓碣銘などを用いて作品を組み立てている。本文のほとんどを渋江保が筆写しており、鴎外がそれを部分的に補っている。鴎外は、渋江保の協力を得て多数の慊堂関係の資料を入手しており、本書もその一部と考えられる。(合)|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html|関連作品: 『北条霞亭』(全集18巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/44a6d394-d2db-4732-80ff-061e4e56cfe7.json,44a6d394-d2db-4732-80ff-061e4e56cfe7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/44a6d394-d2db-4732-80ff-061e4e56cfe7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2cf84781e6b9028bc61a9632f600cf3ca32578df.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/394,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44a6d394-d2db-4732-80ff-061e4e56cfe7/manifest,,,,,322
唐宋八家文讀本(トウソウ ハッカブン トクホン) / (清)沈徳潛評點.,トウソウ ハッカブン トクホン,"東京 : 磯部屋太郎兵衛, 1879.9 8冊 ; 18cm -- 1 - 8 注記: 書名及び責任表示は巻頭による ; 見返しに「明治己卯鐫 貯書樓刊」とあり ; 発兌書林: 萬屋東平[ほか] ; 和装. 袋綴じ ; 1: 卷1-3. 2: 卷4-6. 3: 卷7-9. 4: 卷10-14. 5: 卷15-17. 6: 卷18-22. 7: 卷23-26. 8: 卷27-30",鴎E44:420,書入頁,明代の学者茅坤が編纂し、清代乾隆年間の詩人沈徳潜が選輯し評点を付した漢文集。唐の韓愈、柳宗元、宋の欧陽脩、蘇洵、蘇軾、蘇轍、曾鞏、王安石ら古文家8人の文を収録する。近世後期から明治期にかけてのわが国において、漢文学習者の手本として流布した。多数のドイツ語による注記がなされているほか、「富兵論」(巻五、蘇洵「韓枢密に上る書」に対する書入れ)、「言論自由」(巻八、曾鞏「孫司封に与ふる書」に対する書入れ)など、当時の社会問題に関係する言葉も記されている。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/44c63a9a-f87f-4dc1-91cd-1a791ceab321.json,44c63a9a-f87f-4dc1-91cd-1a791ceab321,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/44c63a9a-f87f-4dc1-91cd-1a791ceab321,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/01ee9730052a58fdd6b7363ff602b92abadebefd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/395,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44c63a9a-f87f-4dc1-91cd-1a791ceab321/manifest,,,,,57
品石風雅 2巻(ヒンセキ フウガ) / 加藤濟輯.,ヒンセキ フウガ,"[出版地不明] : [出版者不明], 慶應2[1866][刊] 12, 10, 8, 2丁 ; 22cm 注記: 加藤權, 加藤二如同校 ; 掬靄山房蔵 ; 左右双辺有界",鴎E43:265,書入頁,幕末の漢学者・文人、加藤霞石(済、世美)の編になる詩文集。霞石は房州平久里《へぐり》の生れで、伊勢長島藩の聘に応じ一時江戸に住んだが、維新後は郷里に帰り没した。 霞石は郷里の豫山(伊予ヶ岳か)で採取した奇石を「小豫山」と名付けて秘蔵しており、大沼枕山、梁川星巌、横山湖山といった漢詩人たちがその「小豫山」に寄せた「小豫山歌」、「小豫山記」等の詩文を集めた書物である。巻末に霞石自身の「愛石説」を載せる。 「橘井堂」の印と「牽舟漫士」の前識語があることから、鴎外若年時の読書と思われる。書入れは欄上に『六名家詩鈔』(鴎E45:832)と対校して異同を注記するなどで、青年期の集中的な漢詩文受容の一環であることがわかる。(梅),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4598cf4f-3981-4f2f-a4d3-9eace3d322b1.json,4598cf4f-3981-4f2f-a4d3-9eace3d322b1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/4598cf4f-3981-4f2f-a4d3-9eace3d322b1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e4dcd8994cdd8bd4436def7eca6705a9d8c52dc5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/396,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4598cf4f-3981-4f2f-a4d3-9eace3d322b1/manifest,,,,,4
寒山詩闡提記聞 3巻(カンザンシ センダイ キモン) .,カンザンシ センダイ キモン,"京都 : めと木屋宗八, [出版年不明] 3冊 ; 26cm -- 上;中;下 注記: 版心の書名: 闡提記聞 ; 延享3年刊沼津紀伊國屋藤兵衞印の後印 ; 四周単辺無界 ; 巻頭: 三隱詩集序闡提記聞 ; 朱墨書き入れあり ; 挟みもの: 鴎外の自筆メモ(4葉)とそのコピー2枚およびその解説(カード1枚)",鴎E45:2480,書入頁の一部(メモのみ),"伝説的な僧侶、寒山の詩に、江戸中期の禅僧白隠慧鶴《はくいんえかく》が註を加えた書。闡提《せんだい》は白隠の号である。本文に付された夥しい量の書き入れのほとんどは、いわゆる朱引(しゅびき)であり、鴎外の筆かどうか、判別しがたい。 鴎外が浅草の文淵閣浅倉屋で入手したと思われる本書には4枚の自筆メモが挟まれている。メモは『制度通』などに拠った中国の官制、地理に関する覚書であり、断片的に記された情報の多くが、鴎外の小説『寒山拾得』本文と一致する。本書に収める「三隠詩集」は美術の分野でも寒山・拾得を描く際の資料となってきたが、これらのメモから、鴎外が資料として本書を参照した可能性が指摘されている。(多)|関連作品: 『寒山拾得』(全集16巻) http://www.aozora.gr.jp/cards/000129/card679.html|参考文献: 古田島洋介「「寒山拾得」新注」(『比較文学研究』42号,1982年11月)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4636aed8-be14-447c-84b5-b64c61ed335b.json,4636aed8-be14-447c-84b5-b64c61ed335b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/4636aed8-be14-447c-84b5-b64c61ed335b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c756f43bc6d62df9a4381401521b3692a15f1712.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/397,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4636aed8-be14-447c-84b5-b64c61ed335b/manifest,,,,,9
安永騒壇(アンエイ ソウダン) / 源高湛稿. [写本],アンエイ ソウダン,"([製作地不明] : [森鴎外], 1917.4) 1冊 ; 24cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎H20:173,全頁,近世中期の漢学者、漢詩人の名字や号、出自を記した鴎外自筆のノート。典拠資料として、『日本詩選』、『日本咏物詩』、『徂徠集』、『日本詩史』、『南郭集』、『古学先生集』、『儒林姓名録』などの名が巻頭に掲げられている。識語に「大正丁巳孟夏 源高湛稿」とあり、大正6年(1917)4月、56歳の時の制作と分かる。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/481b3fcb-1703-4ca7-b22b-b7bec4dce43e.json,481b3fcb-1703-4ca7-b22b-b7bec4dce43e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/481b3fcb-1703-4ca7-b22b-b7bec4dce43e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/60970cfc79550adce6f9384f14fe724796bb36da.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/398,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/481b3fcb-1703-4ca7-b22b-b7bec4dce43e/manifest,,,,,96
